age,gender,year,city,cause,pop,pov,urate,college,VictimID
37,Male,2015,Port St Joe,Gunshot,3660,16,0.129227053,0.169018933,255
56,Male,2015,Levelland,Gunshot,4966,29.3,0.087265136,0.050646175,256
36,Male,2015,Fairfield,Gunshot,4759,23.5,0.160147262,0.144635049,257
27,Male,2015,Delano,Gunshot,13987,20.1,0.151374509,0.084873066,258
30,Male,2015,Green Bay,Gunshot,4716,13.6,0.08816521,0.213095586,259
31,Male,2015,Rosemont,Gunshot,2680,11.5,0.095054592,0.131664853,260
46,Male,2015,Orlando,Gunshot,3748,35.2,0.127546072,0.146364057,261
51,Male,2015,Rufe,Gunshot,2808,21.5,0.159594096,0.145865434,262
72,Male,2015,Lawrenceville,Gunshot,7956,14.1,0.099892819,0.247864986,263
28,Male,2015,Highland,Death in custody,3859,11.8,0.176044568,0.064474254,264
63,Male,2015,Glendale,Gunshot,6257,13,0.05121876,0.245041426,265
28,Male,2015,Sunnyvale,Gunshot,5153,6.6,0.120577121,0.350638761,266
33,Male,2015,Mesa,Gunshot,5442,13.4,0.118041583,0.198295641,267
24,Male,2015,Tahoka,Gunshot,1363,26,0.043478261,0.117073171,268
27,Male,2015,Marion,Gunshot,4792,22.4,0.085856304,0.247985121,269
24,Male,2015,Lukachukai,Gunshot,5808,48.9,0.262736536,0.102930128,270
28,Male,2015,St Paul,Gunshot,4264,18.1,0.106712565,0.161686451,271
28,Male,2015,St Augustine,Gunshot,26826,4.6,0.054535801,0.458288579,272
17,Male,2015,Zion,Gunshot,3111,19.1,0.273263434,0.101003764,273
46,Female,2015,Sebastopol,Gunshot,4082,6.6,0.065811966,0.400197954,274
52,Male,2015,Fallsburg,Death in custody,3535,9.1,0.059414226,0.172615185,275
39,Male,2015,Aurora,Gunshot,3219,20.3,0.1340882,0.263902439,276
49,Female,2015,Peoria ,Gunshot,3803,17.6,0.104332953,0.100755668,277
30,Male,2015,Fort Worth,Gunshot,5863,6,0.039571006,0.368676546,278
51,Male,2015,Phoenix,Gunshot,3817,13,0.107897153,0.190435887,279
16,Male,2015,Jacksonville,Gunshot,4294,36.4,0.232041049,0.105285592,280
18,Male,2015,Guthrie,Gunshot,3014,33.3,0.105769231,0.105675147,281
22,Male,2015,Chandler,Gunshot,4378,8.5,0.069218871,0.269216758,282
40,Male,2015,Carrollton,Gunshot,8081,17,0.136045259,0.17954453,283
61,Male,2015,Smyrna,Gunshot,3045,17.9,0.115207373,0.144492132,284
52,Male,2015,Smyrna,Gunshot,13561,6.4,0.063839559,0.241391224,285
51,Male,2015,Indianapolis,Gunshot,6142,15.1,0.125633232,0.090463918,286
36,Male,2015,Lyndhurst,Gunshot,4702,4.5,0.096800997,0.294627383,287
36,Male,2015,Roosevelt,Gunshot,7753,12.4,0.03559965,0.199397288,288
59,Male,2015,Columbia,Gunshot,3276,14.5,0.100581395,0.470207254,289
17,Female,2015,Longview,Gunshot,4045,27.4,0.13706706,0.174307036,290
18,Male,2015,Trenton,Gunshot,3088,6,0.091408935,0.236224029,291
41,Male,2015,Nocona,Gunshot,1683,10.3,0.075596817,0.140482128,292
33,Male,2015,Anchorage,Death in custody,5733,20.2,0.129310345,0.076845638,293
25,Male,2015,Miami Gardens,Gunshot,4945,8.2,0.116955017,0.16485773,294
23,Male,2015,St Louis,Gunshot,3641,38.7,0.201671309,0.10056391,295
47,Male,2015,Pittsburgh,Gunshot,4667,30.5,0.102179837,0.083578792,296
58,Male,2015,Penrose,Gunshot,5006,14.8,0.095274683,0.153032832,297
47,Male,2015,Aloha,Gunshot,4978,8.8,0.135547919,0.174886536,298
34,Male,2015,Landover,Gunshot,3715,3.5,0.120465116,0.20610687,299
28,Male,2015,Huntley,Gunshot,7864,9.5,0.049460432,0.300439399,300
37,Male,2015,Spokane,Death in custody,4502,24.4,0.099949006,0.110704111,301
87,Male,2015,Catskill,Struck by vehicle,3947,6.5,0.133264463,0.160841534,302
39,Male,2015,Boulder,Gunshot,4630,7.7,0.051483733,0.824971165,303
27,Male,2015,Elk Grove,Gunshot,4192,14.7,0.164906988,0.176865936,304
35,Male,2015,Los Angeles,Gunshot,4371,50.6,0.157422081,0.126103405,305
36,Male,2015,Indianapolis,Gunshot,1471,38.2,0.224820144,0.085378869,306
24,Male,2015,St Paul,Gunshot,2391,48.9,0.223255814,0.177067083,307
26,Male,2015,Omaha,Gunshot,4283,18.7,0.095988539,0.190532081,308
34,Male,2015,Chesapeake,Gunshot,7340,10.8,0.09905795,0.188659579,309
51,Male,2015,Columbia,Gunshot,2917,69.4,0.028318584,0.579006772,310
49,Male,2015,Salemburg,Gunshot,4083,33.8,0.238070806,0.112681913,311
41,Male,2015,Rockford,Gunshot,5199,39.1,0.19002079,0.026403743,312
54,Male,2015,Kellyville,Gunshot,3954,8.9,0.098895582,0.085796683,313
36,Male,2015,Memphis,Gunshot,6876,34.3,0.112596554,0.040115301,314
26,Male,2015,Fort Lauderdale,Unknown,3441,51.4,0.294452347,0.077979132,315
35,Male,2015,Stockton,Gunshot,3140,29.1,0.235502122,0.101457097,316
22,Male,2015,Savannah,Death in custody,5502,30.1,0.119607843,0.202453988,317
27,Male,2015,Huntingdon,Gunshot,4517,18.1,0.140121439,0.088607595,318
42,Male,2015,Sacramento,Gunshot,5372,31.1,0.107025846,0.475305216,319
32,Male,2015,San Francisco,Gunshot,5731,8.6,0.050441655,0.794069862,320
32,Male,2015,Eaton Rapids Township,Gunshot,3021,3.3,0.069385271,0.238783649,321
