name,age,gender,year,city,state,cause,pop,p_income
beef9555d5ceca6fe5b374c9ecf7a14d038d6749093beabea64508f8a90e3d3d,"(51.5, 88.0]",Male,2015,Hanover,norte,Gunshot,"(553.553, 13803.5]",30491
edd39be5b857defc93c7315e0b64c7f26eb6c90810ea2fd7526c29fec1572033,"(14.927, 51.5]",Male,2015,Muskogee County,centro,Taser,"(553.553, 13803.5]",18370
51cf468b43d92d3a5e0ef7d3df80edc382c44769251123d89136e2e1bf3b3652,"(51.5, 88.0]",Male,2015,Mansfield,centro,Gunshot,"(553.553, 13803.5]",24348
3431c6987f1df332e823826c95221ab71654b10c64e88087fc7e94df07f1bd6c,"(51.5, 88.0]",Male,2015,Constantania,norte,Gunshot,"(553.553, 13803.5]",23883
35734121572d5ddc519e4e79b60d63dff1eb1b2c3a76490cf78f9c97d367b082,"(14.927, 51.5]",Male,2015,Tallulah,sur,Struck by vehicle,"(553.553, 13803.5]",15373
9c0cdb0e1975c204b55941f46cae2b2b18490b96ae146b36c8341105a043aa27,"(14.927, 51.5]",Male,2015,Branford,este,Taser,"(553.553, 13803.5]",41609
da182d615639e8f253a71fd63289860b758643869bd30f9f5d67cf2dfb2a7ec7,"(51.5, 88.0]",Male,2015,Los Angeles,oeste,Struck by vehicle,"(553.553, 13803.5]",21130
1659069cb6edcf99d95700d2734e86195d4dd05188926926132c71cc89aee911,"(14.927, 51.5]",Male,2015,Garden Grove,oeste,Gunshot,"(553.553, 13803.5]",19598
944e6ebce002081151dd06b506956a463cf9302bd0c86aabcf95adcdacfa3608,"(14.927, 51.5]",Female,2015,Gardner,centro,Gunshot,"(553.553, 13803.5]",33869
f802c9d9175d7b4ac69a0c004a018604ca1fd37e674b2276da64efc49812c6e5,"(14.927, 51.5]",Male,2015,Dublin,sur,Gunshot,"(553.553, 13803.5]",16983
0ed2cb34a1e10ec88b8d72c9d2d11733e38ee5eb47d25e5473294cc47a82bba0,"(14.927, 51.5]",Male,2015,Harvey,sur,Gunshot,"(553.553, 13803.5]",23944
f253be8946cfc5d9761f868568e3365639fca97f07eed11e74278f246bbfab19,"(14.927, 51.5]",Male,2015,Lauderhill,sur,Gunshot,"(553.553, 13803.5]",20254
931c4add852c623b67eb480215ebae0fd94622e5ae6e5ef5dafdd73328b51286,"(14.927, 51.5]",Male,2015,New York,norte,Death in custody,"(553.553, 13803.5]",15656
6d60ac454dc4850766c4f442a523accf528502d64624486f5b1c189be284a327,"(14.927, 51.5]",Male,2015,San Diego,oeste,Gunshot,"(553.553, 13803.5]",26928
